"ICD-10-AM Code","ICD-10-AM Code Descriptor","ICD-10 Map","Field4"
"A41.50","Sepsis due to unspecified Gram-negative organisms","A41.5",
"A41.51","Sepsis due to Escherichia coli [E. Coli]","A41.5",
"A41.52","Sepsis due to Pseudomonas","A41.5",
"A41.58","Sepsis due to other Gram-negative organisms","A41.5",
"B37.81","Candidal oesophagitis","B37.8",
"B37.88","Candidiasis of other sites","B37.8",
"B95.41","Streptococcus, group C, as the cause of diseases classified to other chapters","B95.4",
"B95.42","Streptococcus, group G, as the cause of diseases classified to other chapters","B95.4",
"B95.48","Streptococcus, other specified group, as the cause of diseases classified to other chapters","B95.4",
"B96.31","Haemophilus influenzae [H. influenzae] type B, as the cause of diseases classified to other chapters","B96.3",
"B96.38","Haemophilus influenzae [H. influenzae] other specified type, as the cause of diseases classified to other chapters","B96.3",
"B96.39","Haemophilus influenzae [H. influenzae] type not specified, as the cause of diseases classified to other chapters","B96.3",
"B96.81","Helicobacter pylori [H. pylori] as the cause of diseases classified to other chapters","B96.8",
"B96.88","Other and unspecified bacterial agents as the cause of diseases classified to other chapters","B96.8",
"C41.01","Malignant neoplasm of craniofacial bones","C41.0",
"C41.02","Malignant neoplasm of maxillofacial bones","C41.0",
"C79.81","Secondary malignant neoplasm of breast","C79.8",
"C79.82","Secondary malignant neoplasm of genital organs","C79.8",
"C79.88","Secondary malignant neoplasm of other specified sites","C79.8",
"C88.00","Waldenström macroglobulinaemia, without mention of remission","C88.0",
"C88.01","Waldenström macroglobulinaemia, in remission","C88.0",
"C88.10","Alpha heavy chain disease, without mention of remission","C88.1",
"C88.11","Alpha heavy chain disease, in remission","C88.1",
"C88.20","Gamma heavy chain disease, without mention of remission","C88.2",
"C88.21","Gamma heavy chain disease, in remission","C88.2",
"C88.30","Immunoproliferative small intestinal disease, without mention of remission","C88.3",
"C88.31","Immunoproliferative small intestinal disease, in remission","C88.3",
"C88.70","Other malignant immunoproliferative diseases, without mention of remission","C88.7",
"C88.71","Other malignant immunoproliferative diseases, in remission","C88.7",
"C88.90","Malignant immunoproliferative disease, unspecified, without mention of remission","C88.9",
"C88.91","Malignant immunoproliferative disease, unspecified, in remission","C88.9",
"C90.00","Multiple myeloma, without mention of remission","C90.0",
"C90.01","Multiple myeloma, in remission","C90.0",
"C90.10","Plasma cell leukaemia, without mention of remission","C90.1",
"C90.11","Plasma cell leukaemia, in remission","C90.1",
"C90.20","Plasmacytoma, extramedullary, without mention of remission","C90.2",
"C90.21","Plasmacytoma, extramedullary, in remission","C90.2",
"C91.00","Acute lymphoblastic leukaemia, without mention of remission","C91.0",
"C91.01","Acute lymphoblastic leukaemia, in remission","C91.0",
"C91.10","Chronic lymphocytic leukaemia, without mention of remission","C91.1",
"C91.11","Chronic lymphocytic leukaemia, in remission","C91.1",
"C91.20","Subacute lymphocytic leukaemia, without mention of remission","C91.2",
"C91.21","Subacute lymphocytic leukaemia, in remission","C91.2",
"C91.30","Prolymphocytic leukaemia, without mention of remission","C91.3",
"C91.31","Prolymphocytic leukaemia, in remission","C91.3",
"C91.40","Hairy-cell leukaemia, without mention of remission","C91.4",
"C91.41","Hairy-cell leukaemia, in remission","C91.4",
"C91.50","Adult T-cell leukaemia, without mention of remission","C91.5",
"C91.51","Adult T-cell leukaemia, in remission","C91.5",
"C91.70","Other lymphoid leukaemia, without mention of remission","C91.7",
"C91.71","Other lymphoid leukaemia, in remission","C91.7",
"C91.90","Lymphoid leukaemia, unspecified, without mention of remission","C91.9",
"C91.91","Lymphoid leukaemia, unspecified, in remission","C91.9",
"C92.00","Acute myeloid leukaemia, without mention of remission","C92.0",
"C92.01","Acute myeloid leukaemia, in remission","C92.0",
"C92.10","Chronic myeloid leukaemia, without mention of remission","C92.1",
"C92.11","Chronic myeloid leukaemia, in remission","C92.1",
"C92.20","Subacute myeloid leukaemia, without mention of remission","C92.2",
"C92.21","Subacute myeloid leukaemia, in remission","C92.2",
"C92.30","Myeloid sarcoma, without mention of remission","C92.3",
"C92.31","Myeloid sarcoma, in remission, in remission","C92.3",
"C92.40","Acute promyelocytic leukaemia, without mention of remission","C92.4",
"C92.41","Acute promyelocytic leukaemia, in remission","C92.4",
"C92.50","Acute myelomonocytic leukaemia, without mention of remission","C92.5",
"C92.51","Acute myelomonocytic leukaemia, in remission","C92.5",
"C92.70","Other myeloid leukaemia, without mention of remission","C92.7",
"C92.71","Other myeloid leukaemia, in remission","C92.7",
"C92.90","Myeloid leukaemia, unspecified, without mention of remission","C92.9",
